# Neufeld, Lepp, and Melnick, ApJ, 1995, Table 3
# https://articles.adsabs.harvard.edu/pdf/1995ApJS..100..132N
# temperature / K,  columns
10 20 30 50 80 100

# log10(N_tilde / [cm-2/km/s-1]), rows
14.5 15.0 15.5 16.0 16.5 17.0 17.5 18.0 18.5 19.0

# log(L0 / [erg cm3 /s])
24.96 24.56 24.36 24.12 23.88 23.80

# -log10(L_LTE / [erg/s])
21.15 20.39 19.97 19.47 19.02 18.81
21.25 20.45 20.02 19.50 19.04 18.83
21.45 20.58 20.12 19.57 19.09 18.87
21.73 20.81 20.31 19.71 19.20 18.96
22.08 21.11 20.58 19.95 19.39 19.14
22.47 21.46 20.91 20.25 19.67 19.40
22.89 21.85 21.28 20.60 19.99 19.71
23.32 22.25 21.67 20.97 20.35 20.07
23.76 22.68 22.08 21.37 20.74 20.45
24.21 23.11 22.51 21.78 21.14 20.85

# log10(n1/2 / [cm-3])
3.31 3.72 3.96 4.24 4.39 4.51
3.11 3.59 3.87 4.17 4.35 4.47
2.80 3.34 3.64 4.01 4.23 4.36
2.37 2.95 3.31 3.73 3.99 4.13
1.90 2.50 2.87 3.33 3.61 3.78
1.40 2.02 2.40 2.86 3.17 3.34
0.90 1.52 1.90 2.38 2.69 2.87
0.40 1.02 1.41 1.89 2.19 2.38
-0.09 0.52 0.91 1.39 1.69 1.88
-0.59 0.03 0.41 0.88 1.19 1.38

# alpha
0.37 0.41 0.42 0.41 0.38 0.37
0.38 0.42 0.44 0.42 0.39 0.37
0.38 0.43 0.44 0.43 0.40 0.39
0.36 0.41 0.43 0.43 0.40 0.39
0.34 0.37 0.39 0.39 0.39 0.39
0.31 0.33 0.35 0.35 0.35 0.34
0.28 0.31 0.32 0.32 0.31 0.31
0.26 0.28 0.29 0.28 0.28 0.28
0.25 0.26 0.26 0.26 0.26 0.26
0.23 0.25 0.25 0.24 0.25 0.25
